"","10057.61.3","10057.62.4","10057.62.3","10057.62.2","10057.238.4","10057.238.2","10057.229.4","10057.61.1","10057.226.3","10057.226.2","10057.239.3","10057.243.3.1to10.and.1to2","10057.61.2","10057.250.1","10057.234.3","10057.196.2","10057.61.4","10057.242.3","10057.239.2","10057.236.2","10057.235.3","10057.194.3","10057.235.2","10057.229.3","10057.243.1","10057.195.4","10057.230.2","10057.269.4","10057.239.4","10057.60.3","10057.269.3","10057.232.2","10057.193.4","10057.233.2","10057.234.2","10057.236.3","10057.195.2","10057.58.4","10057.233.3","10057.234.4","10057.242.2","10057.60.4","10057.60.2","10057.270.4","10057.231.4","10057.232.3","10057.238.3","10057.227.4","10057.231.2","10057.230.4","10057.248.2","10057.197.2","10057.233.4","10057.271.3","10057.237.3","10057.267.4","10057.269.2","10057.226.4","10057.231.3","10057.228.4","10057.268.3","10057.196.3","10057.230.3","10057.193.1","10057.59.3","10057.246.2","10057.194.4","10057.268.4","10057.241.3","10057.58.3","10057.196.4","10057.267.2","10057.240.3","10057.245.3.1to10.and.1to4","10057.270.2","10057.59.4","10057.197.3","10057.249.2","10057.240.1","10057.241.2","10057.236.4","10057.268.2","10057.240.2","10057.237.4","10057.227.2","10057.237.2","10057.235.1","10057.268.1","10057.243.2","10057.59.1","10057.248.3","10057.231.1","10057.193.3","10057.227.3","10057.232.4","10057.235.4","10057.228.2","10057.58.2","10057.271.2","10057.271.1","10057.233.1","10057.236.1","10057.194.1","10057.246.1","10057.238.1","10057.228.3","10057.193.2","10057.249.3","10057.195.3","10057.270.1","10057.58.1","10057.269.1","10057.197.1","10057.226.1","10057.267.3","10057.62.1","10057.230.1","10057.232.1","10057.250.2","10057.245.2","10057.246.3","10057.237.1","10057.194.2","10057.195.1","10057.60.1","10057.241.1","10057.249.1","10057.234.1","10057.196.1","10057.239.1","10057.229.2","10057.228.1","10057.267.1","10057.242.1","10057.270.3","10057.227.1","10057.248.1","10057.245.1"
"11",0.000124672734073058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012868356710848,0,0,7.55915035150049e-05,0,0,0,0,0,0.000107434464976364,9.36066647945334e-05,6.83060109289617e-05,0.000121285627653123,6.22316261123903e-05,0.000206803846551546,0,0,0.000168676731044952,7.26638569975294e-05,0,6.90321689907497e-05,0,0,0.000108395208931765,0.000111844312716698,0,0.000113250283125708,0,0,9.4197437829691e-05,0.000391849529780564,6.73264660337979e-05,0,0,0,8.91503967192654e-05,0,6.71005837750788e-05,0,0,8.86682035821954e-05,6.44662197008767e-05,0,0,0,0,0.000178810907465355,0,0,0,0,0,0,0,0,0.000111507582515611,0,0.000122339124051872,0,7.27696114102751e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98849656494648e-05,0.000153940886699507,7.14030703320243e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0.000124672734073058,0,0,0,0,0,0.000231107002542177,0.000383926286153059,0,0,0,7.21084511104701e-05,0.000214661371686165,0,0,0,0,0,7.55915035150049e-05,9.68898362561767e-05,0,0.000225339417497606,7.46602956547708e-05,0,0.000214868929952729,0,0.000136612021857923,0.000202142712755205,6.22316261123903e-05,0,0,6.79855870555442e-05,0,0,0,0,4.86381322957198e-05,0.000203334688897926,5.41976044658826e-05,0.000111844312716698,0,0.000226500566251416,0.000172205958326158,9.93838203140529e-05,9.4197437829691e-05,0,0.000201979398101394,6.62295516259355e-05,0,0,0,9.89511181476351e-05,0,0.000160038409218212,0,0,0,7.46324352563624e-05,0,0,0.000254258835494533,0,0,0,0,0,0,0,0.000230237912509593,0,0.000334522747546833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224391338494334,0,0,0.000153940886699507,0,0.000198767640628106,7.28597449908925e-05,9.30578820026056e-05,7.33568075117371e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65764447695684e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39480884419138e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00322376070182856,0.00548894217958966,0.00585014625365634,0.0014919300149193,0.000229542063583152,7.35889322245934e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,7.59359100918825e-05,0.000453566163964168,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68898362561767e-05,0,0.000225339417497606,0,0,0,0,0,4.0428542551041e-05,0,0,0.000158252888115208,0,0,0,0,0,0,0,0,0,9.02853015529072e-05,0,0,0.000248459550785132,0,0,0.000201979398101394,0,0,0,0,0,0,0,0,0,0.000257864878803507,7.46324352563624e-05,0,0,0,0,0,0,0,0.000230982445334155,0,0,0,0,0,0,0,0,7.27696114102751e-05,0,0.00015124016938899,0.00018037518037518,0,0,0,6.90083500103513e-05,8.85034073811842e-05,0,0,0,0,0,0,0,0,0,0.000239654896948394,7.69704433497537e-05,0,0,0,0,7.33568075117371e-05,0,0,0,0,0,0,0,0.000248880039820806,0.000106157112526539,6.20655412115194e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39309405614374e-05,0,0,0,0,0.000343524562006183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27990584207147e-05,7.93524837327408e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012868356710848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73264660337979e-05,0,0,0,0,0,0,0,0,0,0,0,0.000202922077922078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56200846944949e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98849656494648e-05,0,0,0,0,0,0,0,0,0,0,0.0001356300013563,0,0,0,0,0,0,0,0.000569422036632818,5.96729920038191e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109577032653956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107573149741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121285627653123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000128932439401753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27696114102751e-05,0.000593824228028504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
